Josh Knight	Pink	Nyheim Hines	$9 	No	$9 	12/14/22	Waived
Josh Knight	N/A	Dontrell Hilliard	$1 	No	$1 	11/26/22	Waived
Josh Knight	N/A	Mitch Trubisky	$3 	No	$3 	10/26/22	Waived
Josh Knight	N/A	Jacoby Brissett	$5 	Yes	$5 	9/3/22	
Josh Knight	N/A	Hassan Haskins	$1 	No	$1 	9/14/22	Waived
Josh Knight	N/A	A.J. Green	$2 	No	$2 	9/21/22	Waived
Josh Knight	N/A	Jaylen Warren	$4 	Yes	$4 	9/14/22	
Josh Knight	N/A	Darrel Williams	$3 	No	$3 	10/26/22	Waived
Josh Knight	N/A	Juwan Johnson	$1 	Yes	$1 	9/24/22	
Josh Knight	N/A	Rondale Moore	$6 	Yes	$6	10/15/22	Received in trade (Phelps)
Josh Knight	N/A	Robert Tonyan	$1 	Yes	$1 	10/19/22	Received in trade (Womble)
Josh Knight	N/A	Sam Ehrlinger	$2 	No	$2 	11/26/22	Waived
Josh Knight	Pink	Kyle Allen	$1 	No	$1 	12/14/22	Waived
Josh Knight	Neon	Bryce Perkins	$1 	No	$1 	11/30/22	Waived
Josh Knight	Neon	Mike White	$1 	Yes	$1 	11/30/22	
Josh Knight	Purple	Colt McCoy	$1 	Yes	$1 	12/14/22	
Josh Knight	Purple	Richie James	$1 	Yes	$1 	12/14/22	
Jesse Marilla	Yellow	Michael Thomas	$20 	Yes	$20 	8/13/22	2022 franchise player
Jesse Marilla	Orange	Jaylen Waddle	$22 	Yes	$22	8/13/22	Signed for $25 in '23; $28 in '24; Received in trade (Bowman)
Jesse Marilla	Forest	Christian McCaffery	$58 	No	$34	11/16/22	Final year of MYD; traded to Bowman
Jesse Marilla	Orange	Darnell Mooney	$15 	Yes	$15	8/13/22	Signed for $18 for '23; $21 for '24
Jesse Marilla	N/A	Kenneth Gainwell	$8 	Yes	$8	8/20/22	Retained as keeper
Jesse Marilla	N/A	Elijah Moore	$21 	Yes	$21	8/27/22	Retained as keeper
Jesse Marilla	N/A	Justin Fields	$23 	Yes	$23	9/21/22	Received in trade (Womble)
Jesse Marilla	N/A	Kenny Pickett	$10 	Yes	$10 	9/21/22	Received in trade (Womble)
Jesse Marilla	N/A	Daniel Jones	$16 	Yes	$16	8/20/22	Acquired in free agency
Jesse Marilla	N/A	Cole Kmet	$5 	Yes	$5 	8/20/22	Acquired in free agency
Jesse Marilla	N/A	Gerald Everett	$2 	Yes	$2 	8/20/22	Acquired in free agency
Jesse Marilla	N/A	Brandin Cooks	$25 	Yes	$25 	8/20/22	Acquired in free agency
Jesse Marilla	N/A	George Pickens	$11 	Yes	$11 	9/3/22	
Jesse Marilla	N/A	Rashaad Penny	$7 	Yes	$7 	10/19/22	Received in trade (Womble)
Jesse Marilla	N/A	Treylon Burks	$13 	Yes	$13 	9/3/22	
Jesse Marilla	N/A	Romeo Doubs	$6 	Yes	$6 	9/3/22	
Jesse Marilla	N/A	Malik Willis	$6 	Yes	$6 	9/3/22	
Jesse Marilla	N/A	Desmond Ridder	$4 	Yes	$4 	9/3/22	
Jesse Marilla	N/A	Mike Boone	$3 	Yes	$3 	10/5/22	
Jesse Marilla	N/A	Damien Williams	$3 	Yes	$2 	10/19/22	Received in trade (Womble)
Jesse Marilla	Neon	Deon Jackson	$1 	Yes	$1 	10/15/22	
Jesse Marilla	N/A	D'Andre Swift	$46 	Yes	$46	11/16/22	Received in trade (Bowman)
Jonathan Phelps	Yellow	Tony Pollard	$6 	Yes	$6	8/13/22	2022 franchise player
Jonathan Phelps	Orange	Dak Prescott	$32 	Yes	$32	8/13/22	Signed for $36 for '23; $40 for '24
Jonathan Phelps	Forest	Russell Wilson	$31 	Yes	$31	8/15/2020	Final year of MYD
Jonathan Phelps	N/A	Alvin Kamara	$38 	No	$13	10/15/22	Traded to Knight
Jonathan Phelps	N/A	Kadarius Toney	$8 	Yes	$8	10/15/22	Retained as keeper
Jonathan Phelps	N/A	Darrell Henderson Jr.	$8 	No	$6	10/22/22	Traded to Heckman
Jonathan Phelps	Blue	Tyreek Hill	$17 	Yes	$17	9/17/22	Received in trade (Knight); Signed for $20 for '23
Jonathan Phelps	N/A	Khalil Herbert	$9 	Yes	$9	8/20/22	Acquired in free agency
Jonathan Phelps	N/A	Stephon Diggs	$60 	No	$16	9/21/22	Traded to Thomas
Jonathan Phelps	N/A	Saquon Barkley	$50 	No	$16	10/15/22	Traded to Knight
Jonathan Phelps	N/A	David Njoku	$5 	Yes	$5	9/3/22	
Jonathan Phelps	N/A	Kyle Phillips	$1 	Yes	$1	9/14/22	
Jonathan Phelps	Blue	Darren Waller	$7 	Yes	$7	9/21/22	Received in trade (Thomas); Signed for $10 for '23
Jonathan Phelps	N/A	Brandon Aiyuk	$15 	Yes	$15	9/21/22	Received in trade (Thomas)
Jonathan Phelps	N/A	Terry McLaurin	$45 	No	$12	10/15/22	Received contract in trade (Knight)
Jonathan Phelps	N/A	Zay Jones	$1 	Yes	$1	9/28/22	
Jonathan Phelps	N/A	Cooper Rush	$1 	No	$1	12/3/22	Waived
Jonathan Phelps	N/A	Joe Burrow	$40 	Yes	$40	10/15/22	Received in trade (Knight)
Jonathan Phelps	N/A	Jameson Williams	$10 	Yes	$10	10/15/22	Received in trade (Knight)
Jonathan Phelps	N/A	KJ Hamler	$4 	No	$4 	10/15/22	Received contract in trade (Knight)
Jonathan Phelps	N/A	Tyler Allgeier	$7 	Yes	$7 	10/15/22	Received in trade (Knight)
Jonathan Phelps	N/A	Kyren Williams	$1 	Yes	$1	10/19/22	
Jonathan Phelps	N/A	DeVonta Smith	$19 	Yes	$19 	10/22/22	Received in trade (Heckman)
Jonathan Phelps	N/A	Drake London	$19 	Yes	$19	10/22/22	Received in trade (Heckman)
Jonathan Phelps	N/A	Sam Howell	$1 	Yes	$1	10/22/22	
Jonathan Phelps	N/A	Chubba Hubbard	$2 	No	$2	12/3/22	Waived
Jonathan Phelps	N/A	Foster Moreau	$1 	Yes	$1	11/19/22	
Jonathan Phelps	Neon	Daniel Bellinger	$1 	Yes	$1	12/3/22	
Jonathan Phelps	Neon	Zonovan Knight	$1 	Yes	$1	12/3/22	
Evan Platt	Yellow	Cam Akers	$5 	Yes	$5	8/13/22	2022 franchise player
Evan Platt	Orange	Josh Allen	$26 	Yes	$26	8/13/22	Signed for $29 for '23; $32 for '24
Evan Platt	Forest	Courtland Sutton	$12 	Yes	$12	8/15/2020	Final year of MYD
Evan Platt	Blue	Justin Jefferson	$19 	Yes	$19	8/14/21	Signed for $22 for '23
Evan Platt	N/A	Rashod Bateman	$17 	Yes	$17	8/27/22	Retained as keeper
Evan Platt	N/A	Christian Kirk	$12 	Yes	$12	8/27/22	Retained as keeper
Evan Platt	N/A	Zach Ertz	$8 	Yes	$8	8/20/22	Acquired in free agency
Evan Platt	N/A	Derrick Henry	$65 	Yes	$65 	9/3/22	
Evan Platt	N/A	Cordarrelle Patterson	$14 	Yes	$14 	9/3/22	
Evan Platt	N/A	Jared Goff	$17 	Yes	$17 	9/3/22	
Evan Platt	N/A	Breece Hall	$30 	Yes	$30 	9/3/22	
Evan Platt	N/A	Diontae Johnson	$22 	Yes	$22 	9/3/22	
Evan Platt	N/A	Davis Mills	$13 	Yes	$13 	9/3/22	
Evan Platt	N/A	Michael Carter	$9 	Yes	$9 	9/3/22	
Evan Platt	N/A	Isaiah McKenzie	$6 	Yes	$6 	9/3/22	
Evan Platt	N/A	Tyler Higbee	$4 	Yes	$4 	9/3/22	
Evan Platt	N/A	Zamir White	$7 	Yes	$7 	9/3/22	
Evan Platt	N/A	Alec Pierce	$4 	Yes	$4 	9/3/22	
Evan Platt	N/A	Logan Thomas	$3 	Yes	$3 	9/3/22	
Evan Platt	N/A	Odell Beckham Jr.	$1 	Yes	$1 	9/3/22	
Jacob Simmons	Yellow	Hunter Renfrow	$2 	Yes	$2	8/13/22	2022 franchise player
Jacob Simmons	Orange	Ja'Marr Chase	$13 	Yes	$13	8/13/22	Signed for $16 for '23; $19 for '24
Jacob Simmons	Forest	Devin Singletary	$17 	Yes	$17	8/15/2020	Final year of MYD
Jacob Simmons	Blue	Justin Herbert	$16 	Yes	$16	8/14/21	Signed for $19 for '23
Jacob Simmons	N/A	Dalvin Cook	$60 	Yes	$60	8/20/22	Retained as keeper
Jacob Simmons	N/A	Samaje Perine	$1 	Yes	$1	8/20/22	Retained as keeper
Jacob Simmons	N/A	Baker Mayfield	$10 	Yes	$10	8/20/22	Retained as keeper
Jacob Simmons	N/A	Hunter Henry	$3 	Yes	$3	8/20/22	Acquired in free agency
Jacob Simmons	N/A	Patrick Mahomes	$70 	Yes	$70	8/20/22	Acquired in free agency
Jacob Simmons	N/A	Mike Williams	$33 	Yes	$33	8/20/22	Acquired in free agency
Jacob Simmons	N/A	Ezekiel Elliott	$31 	Yes	$31	9/3/22	
Jacob Simmons	N/A	Tyler Lockett	$14 	Yes	$14	9/3/22	
Jacob Simmons	N/A	Kenneth Walker III	$10 	Yes	$10	9/3/22	
Jacob Simmons	N/A	Garrett Wilson	$10 	Yes	$10	9/3/22	
Jacob Simmons	N/A	Mike Gesicki	$2 	Yes	$2	9/3/22	
Jacob Simmons	N/A	Donovan Peoples-Jones	$1 	Yes	$1	9/14/22	
Jacob Simmons	N/A	Zach Moss	$1 	No	$1	11/16/22	Waived
Jacob Simmons	N/A	Will Dissly	$1 	Yes	$1	10/5/22	
Jacob Simmons	N/A	P.J. Walker	$5 	No	$5	12/10/22	Waived
Jacob Simmons	Neon	Caleb Huntley	$1 	No	$1	11/23/22	Waived
Jacob Simmons	Neon	Deandre Carter	$1 	Yes	$1	11/12/22	
Jacob Simmons	Neon	Parris Campbell	$1 	Yes	$1	11/16/22	
Jacob Simmons	Neon	Sam Darnold	$1 	Yes	$1	11/23/22	
Jacob Simmons	Purple	Travis Homer	$1 	Yes	$1	12/10/22	
Chris Thomas	N/A	Irv Smith Jr.	$3 	Yes	$3	9/21/22	Received in trade (Phelps)
Chris Thomas	Orange	Tee Higgins	$6 	Yes	$6	8/13/22	Signed for $9 for '23; $12 for '24
Chris Thomas	Orange	Deebo Samuel	$14 	Yes	$14	8/13/22	Signed for $17 for '23; $20 for '24; Received in trade (Henry)
Chris Thomas	N/A	Stephon Diggs	$60 	No	$21	9/21/22	Traded to Womble
Chris Thomas	N/A	Tua Tagovailoa	$27 	Yes	$27	8/20/22	Acquired in free agency
Chris Thomas	N/A	Matt Ryan	$26 	Yes	$26	8/20/22	Acquired in free agency
Chris Thomas	N/A	Allen Lazard	$8 	Yes	$8	8/27/22	Received in trade (Knight)
Chris Thomas	N/A	Mike Evans	$45 	Yes	$45 	9/3/22	
Chris Thomas	N/A	David Montgomery	$24 	Yes	$24 	9/3/22	
Chris Thomas	N/A	Noah Fant	$4 	Yes	$4 	9/3/22	
Chris Thomas	N/A	Jerry Jeudy	$25 	Yes	$25 	10/8/22	Received in trade (Womble)
Chris Thomas	N/A	James Cook	$7 	Yes	$7 	9/3/22	
Chris Thomas	N/A	Nico Collins	$7 	No	$3 	9/28/22	Traded to Heckman
Chris Thomas	N/A	Zach Wilson	$7 	Yes	$7 	9/3/22	
Chris Thomas	N/A	Chuba Hubbard	$3 	Yes	$3 	9/3/22	
Chris Thomas	N/A	Taysom Hill	$1 	Yes	$1 	9/7/22	
Chris Thomas	N/A	Terry McLaurin	$45 	Yes	$33	9/17/22	Received in trade (Knight)
Chris Thomas	N/A	D'Onta Foreman	$2 	Yes	$2 	9/17/22	Received in trade (Knight)
Chris Thomas	N/A	Nelson Agholor	$1 	No	$1 	9/28/22	Waived
Chris Thomas	N/A	J.D. McKissic	$8 	Yes	$8	9/28/22	Received in trade (Heckman)
Chris Thomas	N/A	Tyler Conklin	$2 	Yes	$2	9/28/22	
Chris Thomas	N/A	Clyde Edwards-Helaire	$29 	Yes	$29	11/23/22	Received in trade (Henry)
Chris Thomas	Neon	Devin Duvernay	$1 	Yes	$1	10/8/22	
Nick Vitalo	Yellow	Kyle Pitts	$22 	Yes	$22	8/13/22	2022 franchise player
Nick Vitalo	Orange	Javonte Williams	$17 	Yes	$17	8/13/22	Signed for $20 for '23; $23 for '24
Nick Vitalo	Blue	Michael Pittman Jr.	$8 	Yes	$8	8/14/21	Signed $11 for '23
Nick Vitalo	N/A	Tom Brady	$30 	Yes	$30	8/20/22	Retained as keeper
Nick Vitalo	N/A	Aaron Jones	$49 	Yes	$49	9/3/22	
Nick Vitalo	N/A	Trevor Lawrence	$41 	Yes	$41	9/3/22	
Nick Vitalo	N/A	Allen Robinson II	$38 	Yes	$38	9/3/22	
Nick Vitalo	N/A	Gabriel Davis	$22 	Yes	$22	8/27/22	Retained as keeper
Nick Vitalo	N/A	Dameon Pierce	$23 	Yes	$23 	9/3/22	
Nick Vitalo	N/A	Evan Engram	$3 	Yes	$3 	9/3/22	
Nick Vitalo	N/A	Chase Edmonds	$22 	Yes	$22 	9/3/22	
Nick Vitalo	N/A	Marvin Jones Jr.	$4 	Yes	$4 	9/3/22	
Nick Vitalo	N/A	Isiah Pacheco	$7 	Yes	$7 	9/3/22	
Nick Vitalo	N/A	Russell Gage	$5 	Yes	$5 	9/3/22	
Nick Vitalo	N/A	Wan'Dale Robinson	$3 	Yes	$3 	9/3/22	
Nick Vitalo	N/A	Drew Lock	$1 	Yes	$1 	9/3/22	
Jason Womble	Blue	Myles Gaskin	$11 	Yes	$11	8/14/21	Signed for $14 for '23
Jason Womble	N/A	Travis Kelce	$57 	Yes	$57	8/20/22	Retained as keeper
Jason Womble	N/A	K. J. Osborn	$7 	Yes	$7	8/20/22	Retained as keeper
Jason Womble	N/A	Joe Mixon	$65 	Yes	$65 	9/3/22	
Jason Womble	N/A	Adam Thielen	$21 	Yes	$21 	9/3/22	
Jason Womble	N/A	Marcus Mariota	$24 	No	$13 	9/14/22	Traded to Phelps
Jason Womble	N/A	DeAndre Hopkins	$18 	Yes	$18 	9/3/22	
Jason Womble	N/A	Damien Williams	$3 	No	$1 	10/19/22	Traded to Marilla
Jason Womble	N/A	Kenny Golladay	$2 	No	$2 	9/21/22	Waived
Jason Womble	N/A	Michael Gallup	$11 	Yes	$1 	10/19/22	Received in trade (Knight)
Jason Womble	N/A	Geno Smith	$4 	Yes	$4 	9/3/22	
Jason Womble	N/A	Jimmy Garoppolo	$3 	Yes	$3 	9/3/22	
Jason Womble	N/A	Matt Breida	$1 	No	$1 	10/19/22	Waived
Jason Womble	N/A	Christian Watson	$3 	Yes	$3 	9/3/22	
Jason Womble	N/A	Gus Edwards	$1 	Yes	$1 	9/3/22	
Jason Womble	N/A	Kendrick Bourne	$1 	Yes	$1 	9/3/22	
Jason Womble	N/A	Jeff Wilson Jr.	$1 	Yes	$1 	9/14/22	Received in trade (Phelps)
Jason Womble	N/A	Devante Parker	$5 	Yes	$5 	9/21/22	Received in trade (Marilla)
Jason Womble	N/A	Derek Carr	$23 	Yes	$23	9/21/22	Received in trade (Marilla)
Jason Womble	N/A	Melvin Gordon III	$12 	Yes	$12 	10/8/22	Received in trade (Thomas)
Jason Womble	N/A	Stephon Diggs	$60 	Yes	$23	10/8/22	Received in trade (Thomas)
Jason Womble	N/A	Josh Reynolds	$1 	Yes	$1 	10/19/22	Received in trade (Marilla)
Jason Womble	Forest	Robert Woods	$21 	Yes	$21	10/19/22	Received in trade (Marilla)
Jason Womble	N/A	Jamaal Williams	$3 	Yes	$3	10/19/22	Received in trade (Marilla)
